code,descript,new_code
43538-611,DOXYCYCLINE,435380611%
51862-557,DOXYCYCLINE,518620557%
51862-558,DOXYCYCLINE,518620558%
52584-028,DOXYCYCLINE,525840028%
54799-535,DOXYCYCLINE,547990535%
54868-5676,DOXYCYCLINE,548685676%
61919-474,DOXYCYCLINE,619190474%
63323-130,DOXYCYCLINE,633230130%
63646-191,DOXYCYCLINE,636460191%
69668-431,DOXYCYCLINE,696680431%
69668-432,DOXYCYCLINE,696680432%
69668-433,DOXYCYCLINE,696680433%
0008-4990,TIGECYCLINE,000084990%
0039-0017,CEFOTAXIME,000390017%
0039-0018,CEFOTAXIME,000390018%
0039-0019,CEFOTAXIME,000390019%
0039-0020,CEFOTAXIME,000390020%
0039-0023,CEFOTAXIME,000390023%
0039-0024,CEFOTAXIME,000390024%
0039-0037,CEFOTAXIME,000390037%
0039-0038,CEFOTAXIME,000390038%
52584-018,CEFOTAXIME,525840018%
0006-3843,ERTAPENEM,000063843%
0006-3845,ERTAPENEM,000063845%
59630-309,DORIPENEM,596300309%
59630-320,DORIPENEM,596300320%
0456-0400,CEFTAROLINE,004560400%
0456-0600,CEFTAROLINE,004560600%
0173-0387,CEFUROXIME,001730387%
0173-0394,CEFUROXIME,001730394%
0173-0740,CEFUROXIME,001730740%
0173-0741,CEFUROXIME,001730741%
24987-352,CEFUROXIME,249870352%
24987-354,CEFUROXIME,249870354%
24987-400,CEFUROXIME,249870400%
24987-425,CEFUROXIME,249870425%
24987-436,CEFUROXIME,249870436%
24987-437,CEFUROXIME,249870437%
54569-4737,CEFUROXIME,545694737%
42023-107,COLISTIMETHATE,420230107%
13310-145,sulfamethoxazole.*trimethoprim,133100145%
13310-146,sulfamethoxazole.*trimethoprim,133100146%
17856-0007,sulfamethoxazole.*trimethoprim,178560007%
49708-145,sulfamethoxazole.*trimethoprim,497080145%
49708-146,sulfamethoxazole.*trimethoprim,497080146%
54868-0337,sulfamethoxazole.*trimethoprim,548680337%
54879-007,sulfamethoxazole.*trimethoprim,548790007%
67919-011,DAPTOMYCIN,679190011%
52118-001,TELAVANCIN,521180001%
52118-002,TELAVANCIN,521180002%
62847-001,TELAVANCIN,628470001%
62847-002,TELAVANCIN,628470002%
0023-7824,POLYMYXIN,000237824%
0713-0268,POLYMYXIN,007130268%
0713-0622,POLYMYXIN,007130622%
49348-029,POLYMYXIN,493480029%
49348-600,POLYMYXIN,493480600%
54569-2867,POLYMYXIN,545692867%
55154-1953,POLYMYXIN,551541953%
58232-4033,POLYMYXIN,582324033%
0049-0013,AMPICILLIN,000490013%
0049-0014,AMPICILLIN,000490014%
0049-0022,AMPICILLIN,000490022%
0049-0023,AMPICILLIN,000490023%
0049-0024,AMPICILLIN,000490024%
0049-0031,AMPICILLIN,000490031%
0049-0032,AMPICILLIN,000490032%
0206-2100,PIPERACILLIN,002062100%
0206-2404,PIPERACILLIN,002062404%
0206-2405,PIPERACILLIN,002062405%
0206-2408,PIPERACILLIN,002062408%
0206-2409,PIPERACILLIN,002062409%
0206-2411,PIPERACILLIN,002062411%
0206-2413,PIPERACILLIN,002062413%
0206-2416,PIPERACILLIN,002062416%
0206-3100,PIPERACILLIN,002063100%
0206-4100,PIPERACILLIN,002064100%
0206-8852,PIPERACILLIN,002068852%
0206-8854,PIPERACILLIN,002068854%
0206-8855,PIPERACILLIN,002068855%
0206-8859,PIPERACILLIN,002068859%
55154-4228,PIPERACILLIN,551544228%
0206-2501,TAZOBACTAM,002062501%
0206-3501,TAZOBACTAM,002063501%
0206-4501,TAZOBACTAM,002064501%
0206-5501,TAZOBACTAM,002065501%
0206-8860,TAZOBACTAM,002068860%
0206-8861,TAZOBACTAM,002068861%
0206-8862,TAZOBACTAM,002068862%
0049-0520,PENICILLIN G,000490520%
0049-0530,PENICILLIN G,000490530%
54569-5877,PENICILLIN G,545695877%
54868-5932,PENICILLIN G,548685932%
60793-600,PENICILLIN G,607930600%
60793-601,PENICILLIN G,607930601%
60793-602,PENICILLIN G,607930602%
60793-700,PENICILLIN G,607930700%
60793-701,PENICILLIN G,607930701%
60793-702,PENICILLIN G,607930702%
68258-8910,PENICILLIN G,682588910%
58406-425,etanercept,584060425%
58406-435,etanercept,584060435%
58406-445,etanercept,584060445%
58406-455,etanercept,584060455%
0074-0243,adalimumab,000740243%
0074-0554,adalimumab,000740554%
0074-3797,adalimumab,000743797%
0074-3799,adalimumab,000743799%
0074-4339,adalimumab,000744339%
0074-6347,adalimumab,000746347%
0074-9374,adalimumab,000749374%
50474-700,certolizumab pegol,504740700%
50474-710,certolizumab pegol,504740710%
57894-070,golimumab,578940070%
57894-071,golimumab,578940071%
57894-350,golimumab,578940350%
54799-533,DOXYCYCLINE,547990533%
0603-1684,trimethoprim.*sulfamethoxazole,006031684%
0603-1685,trimethoprim.*sulfamethoxazole,006031685%
51414-903,POLYMYXIN,514140903%
55305-123,POLYMYXIN,553050123%
63868-359,POLYMYXIN,638680359%
65923-523,POLYMYXIN,659230523%
69636-3025,POLYMYXIN,696363025%
70356-101,POLYMYXIN,703560101%
44567-211,SULBACTAM,445670211%
0206-2100,TAZOBACTAM,002062100%
0206-2404,TAZOBACTAM,002062404%
0206-2405,TAZOBACTAM,002062405%
0206-2408,TAZOBACTAM,002062408%
0206-2409,TAZOBACTAM,002062409%
0206-2411,TAZOBACTAM,002062411%
0206-2413,TAZOBACTAM,002062413%
0206-2416,TAZOBACTAM,002062416%
0206-3100,TAZOBACTAM,002063100%
0206-4100,TAZOBACTAM,002064100%
0206-8852,TAZOBACTAM,002068852%
0206-8854,TAZOBACTAM,002068854%
0206-8855,TAZOBACTAM,002068855%
0206-8859,TAZOBACTAM,002068859%
55154-4228,TAZOBACTAM,551544228%
0574-0858,POLYMYXIN,005740858%
11695-1403,POLYMYXIN,116951403%
17478-235,POLYMYXIN,174780235%
21695-192,POLYMYXIN,216950192%
23155-193,POLYMYXIN,231550193%
24208-830,POLYMYXIN,242080830%
25021-159,POLYMYXIN,250210159%
39822-0615,POLYMYXIN,398220615%
42023-107,POLYMYXIN,420230107%
42023-131,POLYMYXIN,420230131%
49999-439,POLYMYXIN,499990439%
63323-393,POLYMYXIN,633230393%
